window_size,entry_threshold,exit_threshold,position_limit,order_size,total_pnl,total_trades
10,1.5,0.4,15,7,4879.0,924
10,1.5,0.4,15,10,6970.0,924
10,1.5,0.4,20,3,2091.0,924
10,1.5,0.4,20,5,3485.0,924
10,1.5,0.4,20,7,4879.0,924
10,1.5,0.4,20,10,6970.0,924
10,1.5,0.4,25,3,2091.0,924
10,1.5,0.4,25,5,3485.0,924
10,1.5,0.4,25,7,4879.0,924
10,1.5,0.4,25,10,6970.0,924
10,1.5,0.4,30,3,2091.0,924
10,1.5,0.4,30,5,3485.0,924
10,1.5,0.4,30,7,4879.0,924
10,1.5,0.4,30,10,6970.0,924
10,1.5,0.5,10,3,2158.5,940
10,1.5,0.5,10,5,3597.5,940
10,1.5,0.5,10,7,5036.5,940
10,1.5,0.5,10,10,7195.0,940
10,1.5,0.5,15,3,2158.5,940
10,1.5,0.5,15,5,3597.5,940
10,1.5,0.5,15,7,5036.5,940
10,1.5,0.5,15,10,7195.0,940
10,1.5,0.5,20,3,2158.5,940
10,1.5,0.5,20,5,3597.5,940
10,1.5,0.5,20,7,5036.5,940
10,1.5,0.5,20,10,7195.0,940
10,1.5,0.5,25,3,2158.5,940
10,1.5,0.5,25,5,3597.5,940
10,1.5,0.5,25,7,5036.5,940
10,1.5,0.5,25,10,7195.0,940
10,1.5,0.5,30,3,2158.5,940
10,1.5,0.5,30,5,3597.5,940
10,1.5,0.5,30,7,5036.5,940
10,1.5,0.5,30,10,7195.0,940
10,1.5,0.6,10,3,2131.5,948
10,1.5,0.6,10,5,3552.5,948
10,1.5,0.6,10,7,4973.5,948
10,1.5,0.6,10,10,7105.0,948
10,1.5,0.6,15,3,2131.5,948
10,1.5,0.6,15,5,3552.5,948
10,1.5,0.6,15,7,4973.5,948
10,1.5,0.6,15,10,7105.0,948
10,1.5,0.6,20,3,2131.5,948
10,1.5,0.6,20,5,3552.5,948
10,1.5,0.6,20,7,4973.5,948
10,1.5,0.6,20,10,7105.0,948
10,1.5,0.6,25,3,2131.5,948
10,1.5,0.6,25,5,3552.5,948
10,1.5,0.6,25,7,4973.5,948
10,1.5,0.6,25,10,7105.0,948
10,1.5,0.6,30,3,2131.5,948
10,1.5,0.6,30,5,3552.5,948
10,1.5,0.6,30,7,4973.5,948
10,1.5,0.6,30,10,7105.0,948
10,1.5,0.7,10,3,2152.5,952
10,1.5,0.7,10,5,3587.5,952
10,1.5,0.7,10,7,5022.5,952
10,1.5,0.7,10,10,7175.0,952
10,1.5,0.7,15,3,2152.5,952
10,1.5,0.7,15,5,3587.5,952
10,1.5,0.7,15,7,5022.5,952
10,1.5,0.7,15,10,7175.0,952
10,1.5,0.7,20,3,2152.5,952
10,1.5,0.7,20,5,3587.5,952
10,1.5,0.7,20,7,5022.5,952
10,1.5,0.7,20,10,7175.0,952
10,1.5,0.7,25,3,2152.5,952
